source,target
17270,13991
11208,5642
7932,4496
17766,15326
18009,1498
8743,6401
15649,13385
14244,9960
3543,19924
4094,10413
4340,7436
10101,19028
5678,2442
2257,11495
15600,8955
5687,16491
1100,5166
8703,3188
8164,15742
6017,5291
18592,14479
6171,15557
1438,5161
1754,10093
7390,19731
18372,19808
19331,1986
285,18953
16598,8407
11822,2845
7821,9337
18521,19150
7314,1427
18138,164
105,19517
17502,12755
13230,9924
6596,5348
8987,4825
12949,1014
8991,12114
17455,107
15498,18827
8679,14471
10849,2460
13441,4859
19282,5103
235,8636
17754,3557
17072,9387
19277,16810
11803,8056
13895,5214
5146,2530
6957,12278
7428,18279
10366,6628
15319,12826
815,1748
11469,18733
3592,18230
12608,5982
15730,17241
12274,444
10746,9478
14510,764
1831,10474
14761,4547
1302,10884
13132,11994
9173,13824
12172,3550
17674,17160
4106,4306
4388,3238
16685,3060
9830,18295
13352,7796
15468,18934
10295,8266
15428,13119
3780,4321
682,12307
10828,14364
8583,7542
9917,17890
13861,8612
7713,489
1057,17065
7394,8845
6184,12304
13824,3068
13563,14782
15035,2463
7196,1690
11435,2883
2718,11034
18033,5550
16696,19033
14358,16184
5012,14742
11641,12558
4387,14690
11396,11973
5324,2936
16870,17873
14312,6390
244,17342
7376,7111
10030,19056
18236,1341
8181,1654
3941,7406
8185,8943
7467,19280
7314,16032
3668,16107
5008,11186
6278,8532
15457,10800
13596,19402
11002,8262
15924,19311
9105,8539
3224,4732
17842,10462
1820,4942
12252,1169
9731,5029
15760,1160
18067,192
17561,7968
17007,212
8131,13968
18556,12434
851,14879
10120,14411
106,14725
6353,2825
16474,12931
14857,6432
11894,12199
282,3058
19309,14334
10209,16331
5882,13039
13607,16908
8743,2831
13813,16784
11146,10993
13470,580
11270,16132
5036,8265
10700,14289
5354,6854
11441,16953
8081,7034
9108,10284
10885,19704
4097,16913
10880,6528
10563,4377
1113,13135
1858,6873
1844,18494
18871,121
16358,17428
192,15192
16251,16807
12640,3105
7540,3273
11513,1903
4802,11602
4575,13131
16497,998
7540,13072
18046,388
11535,13181
1834,18156
7467,14287
13635,17370
9232,15022
10324,17169
4090,9302
13370,18792
19819,5121
235,2033
16395,19538
927,15358
14114,6643
15791,18111
5019,2568
72,10148
13083,5903
12432,17462
8752,5121
13053,7192
2686,9862
18002,15900
1430,6560
16213,3467
7475,17157
5737,18245
4511,4986
10214,11682
14971,14558
13238,9574
18150,19935
1929,242
11429,18366
17617,224
10956,16456
11352,3624
19734,11964
7496,2169
9338,11230
586,1859
12855,6803
13875,16052
15623,9236
13383,2758
5072,15761
11894,13972
1826,494
17766,19945
16028,16869
13848,17612
6862,18246
2488,15108
4288,8482
19038,10167
2508,16514
10626,3116
11527,8701
19526,307
17254,14293
205,5523
6703,16654
8047,2807
2226,10385
14881,14641
17277,12210
16635,8771
15604,14447
14973,4781
6069,3684
11020,16225
7482,17523
9617,19289
3542,9981
15056,9919
9687,12114
13784,6084
6693,3484
18332,14448
376,6694
14338,10807
1420,499
5726,9330
9929,15030
3039,18378
12345,16257
2080,12788
2732,14663
18446,11702
8176,7889
7362,11348
16827,14202
12560,11715
8663,1591
18877,18304
7079,15197
1444,18993
5803,1821
15231,11963
6865,7509
5019,7374
1041,1984
14355,1712
10751,17474
13115,19292
13894,19030
3394,5895
4517,9607
3871,8678
7505,7842
8024,10127
19575,18992
1180,7404
920,5787
12163,10335
7338,19598
5093,8612
8517,10410
17766,11919
9819,9923
8420,10477
19782,18689
14958,1759
4340,7062
4288,6872
6611,2273
15763,16681
2038,11757
2806,1537
10560,9554
14794,16819
4653,8690
13333,16495
976,9452
9185,9004
17870,14901
12932,3319
5110,12349
4898,14910
43,2831
638,6424
18654,8567
1873,17547
18394,6950
10307,9081
9084,5165
10210,15564
8185,13212
15031,12975
6232,3758
11149,3883
9779,10093
9810,5242
8067,5986
3151,15131
10766,16196
18918,15214
2546,10069
14642,6225
2208,7041
11724,19282
5182,682
16924,12525
1916,224
14982,15311
3368,12513
9127,4057
19087,7644
4923,5302
8663,9780
10316,15936
19119,3395
7373,10277
129,13097
929,17876
11270,7569
19161,18331
3672,19690
7937,15688
19480,19774
15187,16066
12449,17979
7486,14476
1297,10516
12470,15823
82,13631
19526,19368
15773,18792
9468,6578
4836,5656
17870,109
17731,13506
13865,11363
9570,10238
15609,11221
16313,9122
12343,10763
8687,16566
13798,13524
16635,15000
3750,1422
3361,4121
2247,14458
161,18246
14077,2736
5078,11955
11631,14879
4335,17509
7561,12152
4572,10282
18173,13450
4100,11226
10051,16526
18160,11710
2408,2109
15823,17350
19960,2051
18779,4750
5182,8871
18379,844
7505,4272
6517,3606
10653,10336
10311,19
16499,4508
17340,2872
5204,15985
12265,19874
12013,405
17367,531
10700,733
6193,17253
18115,5120
12793,13577
5410,13609
3240,15040
10455,148
17490,9232
5783,19075
19577,1882
1986,11811
9769,19068
6373,9492
6901,9611
9516,2380
15300,14922
989,7622
5934,2625
10076,16717
4288,13101
8667,10167
1795,2767
3502,114
7804,17871
14014,9876
638,9270
1980,8182
15147,14276
4774,13748
18310,5187
2196,19326
8385,16870
11589,16450
19121,19924
8667,7134
11036,9296
10010,15316
5329,946
514,10897
12584,5832
9468,1935
13518,2475
17954,75
689,9208
8123,18563
11729,12673
879,6299
1340,7448
15877,916
17502,18610
3648,15750
18574,15217
8211,15377
2058,13326
8176,12158
4537,6234
14929,11730
376,11313
7186,11419
17671,17106
9115,477
18569,18256
6967,16219
2581,18736
8048,10660
6561,11367
6300,480
2633,18926
3655,9000
16477,1850
1649,5170
8176,9125
16959,17809
1079,3327
13374,3076
15703,12255
11785,9922
17315,11994
13736,6875
12156,11555
14355,15780
16759,4165
18348,19950
2972,2527
5525,7250
19155,8150
6517,5029
13992,14385
8189,5573
13457,11597
4491,9622
16165,6809
11110,6750
6352,239
10089,282
3606,1537
12268,19316
10336,12991
5260,5639
17873,10393
2553,13281
9425,10101
1832,6351
3831,7482
16424,6696
2324,6813
14378,3467
13254,13116
17669,12091
7686,11718
2395,15324
13465,17500
13721,15211
16701,19247
2924,18297
8143,2545
15397,413
16133,481
4776,17496
6051,15186
13338,1860
9912,4153
1997,10740
385,4585
14481,13394
11538,18285
11998,3748
13794,6048
5607,14391
19178,18848
19482,19259
17870,13104
18346,15285
9779,17745
